,Product_Name,Original_Price(in Rs),Discount_Price(in Rs),Power_consumption(Watts),Capacity,Reviews,Rating,Brand,Energy_consumption
0,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,75990,39490,751,1.5,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,5
1,"LG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter wit...",78990,35990,852,1.5,"1,731 Ratings & 209 Reviews",4.2,LG,3
2,Lloyd 1.2 Ton 3 Star Split Inverter AC  - White,54990,30490,854,1.2,"4,805 Ratings & 874 Reviews",4.2,Lloyd,3
3,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split AI Dual Inverter 2 Way Swing, HD Filt...",68990,35990,968,1.5,"4,830 Ratings & 458 Reviews",4.1,LG,3
4,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,58400,36999,967,1.5,724 Ratings & 57 Reviews,4,Daikin,3
5,Lloyd 0.8 Ton 3 Star Split Inverter AC  - White,47990,26999,549,0.8,"4,805 Ratings & 874 Reviews",4.2,Lloyd,3
6,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",62250,35990,1002,1.5,"13,188 Ratings & 1,434 Reviews",4.2,Blue,3
7,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter 4 Way Swing, HD Filt...",75990,44490,685,1.5,"9,269 Ratings & 920 Reviews",4.1,LG,5
8,realme TechLife 2023 Range 1 Ton 4 Star Split Inverter 4-in-1 Convertible with Flexi-Control Technolog...,48999,27499,965,1,"1,706 Ratings & 236 Reviews",4,realme,4
9,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",73000,43980,770,1.5,"13,188 Ratings & 1,434 Reviews",4.2,Blue,5
10,MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,52999,28999,1620,1.5,743 Ratings & 113 Reviews,4,MarQ,3
11,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,63400,44490,774,1.5,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,5
12,"LG Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 4 Star Split Dual Inverter 4 Way Swing, HD Filter wit...",81990,39990,837,1.5,"9,269 Ratings & 920 Reviews",4.1,LG,4
13,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter i-sense Technology with Blu...,46900,31999,980,1.5,"2,237 Ratings & 216 Reviews",4,Godrej,3
14,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 3 Star Split Inverter ...,55400,36490,1002,1.5,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,3
15,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter AC  - White,50990,31499,624,1,"5,037 Ratings & 454 Reviews",4.1,SAMSUNG,3
16,Whirlpool Convertible 4-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter 6th Sense Technology AC  -...,57700,29990,1070,1,"3,533 Ratings & 293 Reviews",3.9,Whirlpool,3
17,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,60990,35490,977,1.5,"5,037 Ratings & 454 Reviews",4.1,SAMSUNG,3
18,Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,59990,32790,1002,1.5,"2,293 Ratings & 443 Reviews",4.3,Lloyd,3
19,MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,50999,29999,1660,1.5,"3,180 Ratings & 374 Reviews",4.1,MarQ,3
20,Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter 6th Sense Technology AC ...,70600,38990,1260,1.5,"3,533 Ratings & 293 Reviews",3.9,Whirlpool,5
21,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,40100,33380,975,1.5,78 Ratings & 11 Reviews,4,Voltas,3
22,Lloyd 1.5 Ton 4 Star Split Inverter AC  - White,63990,36499,863,1.5,"4,805 Ratings & 874 Reviews",4.2,Lloyd,4
23,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambien...,63100,37490,1024,1.5,"1,378 Ratings & 112 Reviews",3.9,Hitachi,3
24,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - Whi...,50990,32990,624,1,"1,185 Ratings & 108 Reviews",4,SAMSUNG,3
25,CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White,55690,26999,526,0.8,"7,406 Ratings & 741 Reviews",4.1,CARRIER,3
26,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,54900,36999,744,1.5,556 Ratings & 74 Reviews,4,Godrej,5
27,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,42900,28999,694,1,"1,113 Ratings & 114 Reviews",4,Godrej,3
28,Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 6th Sense Technology AC ...,62000,32790,963,1.5,"2,903 Ratings & 261 Reviews",3.9,Whirlpool,3
29,realme TechLife 2023 Range 1 Ton 5 Star Split Inverter 4-in-1 Convertible with Flexi-Control Technolog...,50999,29490,840,1,"1,706 Ratings & 236 Reviews",4,realme,5
30,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,64990,32990,975,1.5,"4,258 Ratings & 402 Reviews",4.2,Voltas,3
31,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,72990,42500,749,1.5,"5,037 Ratings & 454 Reviews",4.1,SAMSUNG,5
32,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,49990,33490,1415,1.5,"2,237 Ratings & 216 Reviews",4,Godrej,4
33,realme TechLife 2023 Range 1.5 Ton 4 Star Split Inverter 4-in-1 Convertible with Flexi-Control Technol...,54999,30490,1350,1.5,"1,706 Ratings & 236 Reviews",4,realme,4
34,CARRIER Convertible 4-in-1 Cooling 2023 Model 1 Ton 3 Star Split AI Flexicool Inverter Dual Filtration...,56990,30990,1055,1,"7,406 Ratings & 741 Reviews",4.1,CARRIER,3
35,MarQ by Flipkart 2023 Range 1.5 Ton 5 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,57999,32999,1295,1.5,"3,180 Ratings & 374 Reviews",4.1,MarQ,5
36,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.5 Ton 5 Star Split Inverter 7 Stage Air Treatmen...",58990,42990,798,1.5,632 Ratings & 82 Reviews,4.2,IFB,5
37,SAMSUNG windfree 1.5 Ton 3 Star Split Inverter AC  - White,61990,35490,977,1.5,"1,058 Ratings & 106 Reviews",4.1,SAMSUNG,3
38,"Haier Frost Self-Clean 2023 Model 1.3 Ton 3 Star Split Inverter Cooling at Extreme Temperature, Super ...",60490,29999,1310,1.3,"1,380 Ratings & 167 Reviews",4,Haier,3
39,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,62990,32990,975,1.5,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,3
40,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.5 Ton 3 Star Split Inverter Smart Ready, 7 Stage...",50490,36490,1005,1.5,254 Ratings & 37 Reviews,4.2,IFB,3
41,Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,67990,39990,780,1.5,"4,805 Ratings & 874 Reviews",4.2,Lloyd,5
42,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - W...,61990,36500,977,1.5,"1,185 Ratings & 108 Reviews",4,SAMSUNG,3
43,Midea 2023 Model 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter With Auto Cleanser AC  - White,50190,24990,526,0.8,250 Ratings & 34 Reviews,3.9,Midea,3
44,Daikin 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,67200,45490,1325,1.5,"2,330 Ratings & 227 Reviews",4.2,Daikin,5
45,Whirlpool Convertible 5-in-1 Cooling 2023 Model 2 Ton 3 Star Split Inverter 6th Sense Technology AC  -...,78200,42890,1209,2,"2,903 Ratings & 261 Reviews",3.9,Whirlpool,3
46,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,57990,31999,1700,1.5,"5,037 Ratings & 454 Reviews",4.1,SAMSUNG,3
47,MarQ by Flipkart 2023 Range 1.5 Ton 4 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,53999,31999,1365,1.5,"3,180 Ratings & 374 Reviews",4.1,MarQ,4
48,MarQ by Flipkart 2023 Range 1.5 Ton 4 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,53999,31999,1365,1.5,"3,180 Ratings & 374 Reviews",4.1,MarQ,4
49,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,75990,39490,759,1.5,"1,972 Ratings & 187 Reviews",4.1,Voltas,5
50,realme TechLife 4-in-1 Convertible 2023 Range with Flexi-Control Technology 1.2 Ton 4 Star Split Inver...,50999,29490,1230,1.2,"1,706 Ratings & 236 Reviews",4,realme,4
51,Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 4 Star Split Inverter 6th Sense Technology AC ...,66900,36490,1360,1.5,"3,533 Ratings & 293 Reviews",3.9,Whirlpool,4
52,CARRIER 4-in-1 Flexicool 2023 Model 1.5 Ton 3 Star Split Inverter with Anti-Viral Guard & Smart Energy...,72290,37990,1660,1.5,360 Ratings & 61 Reviews,3.9,CARRIER,3
53,MarQ by Flipkart 2023 Range 2 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology ...,64999,37999,1970,2,"3,180 Ratings & 374 Reviews",4.1,MarQ,3
54,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 3 Star Split Inverter wi...,48100,33490,676,1,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,3
55,CARRIER 1.5 Ton 4 Star Split Inverter AC  - White,69790,37999,1420,1.5,"7,406 Ratings & 741 Reviews",4.1,CARRIER,4
56,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,48900,32490,524,1,"1,113 Ratings & 114 Reviews",4,Godrej,5
57,"LG Super Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter...",57990,32990,642,1,"1,066 Ratings & 83 Reviews",4,LG,3
58,realme TechLife 1.5 Ton 5 Star Split Inverter Smart AC with Wi-fi Connect  - White,64999,35499,770,1.5,69 Ratings & 12 Reviews,4,realme,5
59,LG 1.5 Ton 3 Star Window Dual Inverter AC with Wi-fi Connect  - White,65990,33990,1115,1.5,776 Ratings & 86 Reviews,3.9,LG,3
60,ONIDA 1 Ton 3 Star Split Inverter AC  - White,40900,28990,696,1,"7,529 Ratings & 907 Reviews",4.3,ONIDA,3
61,Lloyd 1.5 Ton 3 Star Window AC  - White,55990,27990,1180,1.5,"1,162 Ratings & 180 Reviews",4.1,Lloyd,3
62,Daikin 1 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,48200,32990,1200,1,"2,330 Ratings & 227 Reviews",4.2,Daikin,3
63,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 4 Star Split Inverter ...,59400,40490,876,1.5,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,4
64,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 5 Star Split Inverter wi...,54600,37990,523,1,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,5
65,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,67990,45705,1325,1.5,28 Ratings & 3 Reviews,3.7,Daikin,5
66,Lloyd 1 Ton 2 Star Window AC  - White,39990,22690,808,1,114 Ratings & 9 Reviews,3.8,Lloyd,2
67,"Panasonic Convertible 7-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter with 2 Way Swing, PM 0.1...",53900,36990,1002,1.5,304 Ratings & 40 Reviews,4.1,Panasonic,3
68,"LG Super Convertible 5-in-1 Cooling, 2023 Model 1.2 Ton 3 Star Split Dual Inverter HD Filter with Anti...",68990,33990,849,1.2,"4,830 Ratings & 458 Reviews",4.1,LG,3
69,Voltas 1.5 Ton 3 Star Window AC  - White,41990,28799,1555,1.5,105 Ratings & 10 Reviews,4,Voltas,3
70,Daikin 0.8 Ton 3 Star Split AC with PM 2.5 Filter  - White,37400,28999,709,0.8,"1,442 Ratings & 155 Reviews",4.1,Daikin,3
71,Hitachi 1.5 Ton 3 Star Window AC  - White,35600,30999,1161,1.5,"3,847 Ratings & 428 Reviews",4.1,Hitachi,3
72,Whirlpool Convertible 4-in-1 Cooling 2023 Model 1 Ton 5 Star Split Inverter 6th Sense Technology AC  -...,64200,34490,840,1,"3,533 Ratings & 293 Reviews",3.9,Whirlpool,5
73,ONIDA 1.5 Ton 5 Star Split Inverter AC  - White,50900,38490,779,1.5,"7,529 Ratings & 907 Reviews",4.3,ONIDA,5
74,"Haier Frost Self-Clean 2023 Model 1.5 Ton 3 Star Split Inverter Cooling at Extreme Temperature, Super ...",64491,31990,1520,1.5,"1,380 Ratings & 167 Reviews",4,Haier,3
75,CARRIER Convertible 6-in-1 Cooling 2023 Model 1.2 Ton 5 Star Split AI Flexicool Inverter Dual Filtrati...,66590,36999,950,1.2,"7,406 Ratings & 741 Reviews",4.1,CARRIER,5
76,Panasonic 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,48100,33490,1095,1,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,3
77,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Wind Free AC with Wi-fi Co...,62990,38900,977,1.5,552 Ratings & 53 Reviews,4.1,SAMSUNG,3
78,"Blue Star Convertible 5 in 1 Cooling 2023 Model 0.9 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",45000,30990,644,0.9,"13,188 Ratings & 1,434 Reviews",4.2,Blue,3
79,realme TechLife 2023 Range 1.5 Ton 5 Star Split Inverter 4-in-1 Convertible with Flexi-Control Technol...,59999,32999,1285,1.5,"1,706 Ratings & 236 Reviews",4,realme,5
80,ONIDA 1.5 Ton 3 Star Split Inverter AC  - White,43900,31490,969,1.5,"7,529 Ratings & 907 Reviews",4.3,ONIDA,3
81,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - W...,73990,44000,749,1.5,"1,185 Ratings & 108 Reviews",4,SAMSUNG,5
82,"Haier Frost Self-Clean 2023 Model 1 Ton 3 Star Split Inverter Cooling at Extreme Temperature, Super An...",57490,30990,1145,1,"1,380 Ratings & 167 Reviews",4,Haier,3
83,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Wind Free AC  - White,61990,37699,977,1.5,"1,058 Ratings & 106 Reviews",4.1,SAMSUNG,3
84,"Hitachi 1.5 T 3 Star Split Inverter AC  - White, Gold",59700,36499,1012,1.5,"1,378 Ratings & 112 Reviews",3.9,Hitachi,3
85,Blue Star 1 Ton 3 Star Window AC  - White,33000,26990,823,1,950 Ratings & 96 Reviews,4.1,Blue,3
86,Whirlpool Convertible 4-in-1 Cooling 2023 Model 0.8 Ton 3 Star Split Inverter 6th Sense Technology AC ...,55900,28999,890,0.8,"3,533 Ratings & 293 Reviews",3.9,Whirlpool,3
87,Blue Star 1.3 Ton 3 Star Split Inverter AC  - White,57500,33990,865,1.3,"13,188 Ratings & 1,434 Reviews",4.2,Blue,3
88,Blue Star 0.8 Ton 3 Star Window AC  - White,30000,24990,648,0.8,950 Ratings & 96 Reviews,4.1,Blue,3
89,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,64990,35499,975,1.5,80 Ratings & 12 Reviews,3.9,Voltas,3
90,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 2 Ton 3 Star Split Inverter Smart Ready, 7 Stage A...",63490,48490,1206,2,254 Ratings & 37 Reviews,4.2,IFB,3
91,"LG AI Convertible 6-in-1 Cooling 2023 Model 2 Ton 3 Star Split AI Dual Inverter 4 Way Swing, HD Filter...",85990,54990,1232,2,"5,107 Ratings & 534 Reviews",4.1,LG,3
92,CARRIER 1.2 Ton 5 Star Split Inverter AC  - White,66590,35999,950,1.2,"7,406 Ratings & 741 Reviews",4.1,CARRIER,5
93,Daikin 1 Ton 3 Star Split AC with PM 2.5 Filter  - White,46000,32690,848,1,"1,442 Ratings & 155 Reviews",4.1,Daikin,3
94,Godrej 5-in-1 Convertible Cooling 2023 Model 2 Ton 3 Star Split Inverter i-sense Technology with Blue ...,60990,42990,1210,2,"2,237 Ratings & 216 Reviews",4,Godrej,3
95,SAMSUNG 1.5 Ton 4 Star Split Inverter AC  - White,64990,38499,850,1.5,36 Ratings & 4 Reviews,3.8,SAMSUNG,4
96,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 2 Ton 4 Star Split Inverter wi...,77150,54990,1075,2,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,4
97,Hitachi 1 Ton 3 Star Split Inverter AC  - White,54300,34979,1095,1,,,Hitachi,3
98,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,60990,34800,977,1.5,,,SAMSUNG,3
99,Hitachi Ice Clean Frost Wash Technology 2023 Model 1 Ton 5 Star Split Inverter Xpandable plus Ambience...,62600,36999,533,1,"1,378 Ratings & 112 Reviews",3.9,Hitachi,5
100,Lloyd 1.2 Ton 5 Star Split Inverter AC  - White,62990,34999,635,1.2,"4,805 Ratings & 874 Reviews",4.2,Lloyd,5
101,Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 6th Sense Technology AC ...,62300,33990,1630,1.5,"3,533 Ratings & 293 Reviews",3.9,Whirlpool,3
102,Lloyd 1 Ton 2 Star Split AC  - White,46990,27999,744,1,249 Ratings & 43 Reviews,4.2,Lloyd,2
103,SAMSUNG 1 Ton 5 Star Split Inverter AC  - White,57990,36399,481,1,552 Ratings & 53 Reviews,4.1,SAMSUNG,5
104,CANDY 1 Ton 3 Star Split Inverter AC  - White,54500,27999,684,1,431 Ratings & 83 Reviews,4,CANDY,3
105,Daikin 1.8 Ton 3 Star Split Inverter AC  - White,72900,50999,1950,1.8,"2,330 Ratings & 227 Reviews",4.2,Daikin,3
106,Lloyd 1.5 Ton 3 Star Hot and Cold Split Inverter AC  - White,64990,37999,1043,1.5,129 Ratings & 31 Reviews,4.3,Lloyd,3
107,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",41500,28999,521,0.8,"13,188 Ratings & 1,434 Reviews",4.2,Blue,3
108,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.5 Ton 4 Star Split Inverter Smart Ready, 7 Stage...",54990,41490,867,1.5,632 Ratings & 82 Reviews,4.2,IFB,4
109,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Wind Free AC  - White,73990,45500,749,1.5,"1,058 Ratings & 106 Reviews",4.1,SAMSUNG,5
110,"Godrej 1.5 Ton 5 Star Split Inverter 2023 Model, Blue Fin Anti Corrosive Coating AC  - White",54900,37490,765,1.5,485 Ratings & 53 Reviews,4.2,Godrej,5
111,Voltas 1.5 Ton 3 Star Window Inverter AC  - White,46990,31499,1204,1.5,379 Ratings & 31 Reviews,4.1,Voltas,3
112,Midea 1 Ton 3 Star Split Inverter AC  - White,50190,30499,1170,1,14 Ratings & 1 Reviews,4.1,Midea,3
113,Lloyd 1.5 Ton 3 Star Split AC  - White,62990,35500,1012,1.5,44 Ratings & 7 Reviews,4.3,Lloyd,3
114,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 4 Star Split Inverter wi...,50600,35990,601,1,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,4
115,Hitachi Ice Clean Frost Wash Technology 2023 Model 1 Ton 3 Star Split Inverter Xpandable plus Ambience...,54300,32999,669,1,"1,378 Ratings & 112 Reviews",3.9,Hitachi,3
116,LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter Plasmaster (Ionizer)...,81990,47990,685,1.5,335 Ratings & 39 Reviews,4.2,LG,5
117,Godrej 1 Ton 3 Star Split Inverter AC  - White,41900,28450,694,1,7 Ratings & 0 Reviews,3.6,Godrej,3
118,LG 1.5 Ton 5 Star Window Dual Inverter AC  - White,65990,38990,1053,1.5,776 Ratings & 86 Reviews,3.9,LG,5
119,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",61250,35990,1007,1.5,"2,255 Ratings & 225 Reviews",4.2,Blue,3
120,CARRIER Convertible 4-in-1 Cooling 2023 Model 2 Ton 3 Star Split AI Flexicool Inverter Dual Filtration...,80890,49999,2000,2,"7,406 Ratings & 741 Reviews",4.1,CARRIER,3
121,Lloyd 1 Ton 2 Star Window AC  - White,39990,22690,808,1,"1,162 Ratings & 180 Reviews",4.1,Lloyd,2
122,Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,53950,31999,1660,1.5,134 Ratings & 20 Reviews,4.1,Whirlpool,3
